,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet
Bathroom|Cleaning,0,0,79,0,0,10,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Bathroom|Showering,0,2630,23,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0
Bathroom|Using_the_sink,0,423,449,5,0,0,0,0,2,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0
Bathroom|Using_the_toilet,0,13,183,70,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bedroom|Cleaning,0,0,0,0,0,30,3,26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,0,0,0,190,23,70,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
Bedroom|Napping,0,0,0,0,0,8,2942,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bedroom|Reading,0,0,0,0,0,4,0,3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,0,0,0,0,0,0,0,231,67,0,0,0,0,0,2,2,3,0,0,0,0,0,0
Entrance|Leaving,0,0,0,0,0,0,0,0,58,127,0,0,0,0,0,0,4,0,0,0,2,0,0,0
Kitchen|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,1,11,0,0,0,0,0,0,0
Kitchen|Cooking,0,0,0,0,0,0,0,0,0,0,0,1873,0,27,0,0,3,0,0,0,0,0,0,0
Kitchen|Preparing,0,0,0,0,0,0,0,0,0,0,0,0,2,276,3,11,4,0,0,0,0,0,0,0
Kitchen|Washing_the_dishes,0,0,0,0,0,0,0,0,0,0,0,0,0,979,2,5,10,0,0,0,0,0,0,0
Living_room|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,81,76,0,0,0,0,0,0,0
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3343,35,0,0,0,0,0,0,0
Living_room|Eating,0,0,0,0,0,0,4,0,0,0,0,23,2,15,7,109,1631,0,0,0,0,0,0,0
Living_room|Watching_TV,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4100,0,0,0,0,1,0
Office|Cleaning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,77,0,0,0,0
Office|Computing,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,8,5,8,0,53322,0,0,2,1
Office|Watching_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1825,0,0,0
Staircase|Going_down,0,1,6,0,0,0,1,0,111,4,0,0,0,7,5,2,13,1,1,0,6,24,10,1
Staircase|Going_up,0,8,8,0,0,0,0,0,56,1,0,0,0,21,3,28,18,32,1,0,0,5,33,0
Toilet|Using_the_toilet,0,0,0,0,0,0,30,0,16,0,0,0,0,1,2,2,50,8,0,1,0,0,0,21
