,Bathroom|Cleaning,Bathroom|Showering,Bathroom|Using_the_sink,Bathroom|Using_the_toilet,Bedroom|Cleaning,Bedroom|Dressing,Bedroom|Napping,Bedroom|Reading,Entrance|Entering,Entrance|Leaving,Kitchen|Cleaning,Kitchen|Cooking,Kitchen|Preparing,Kitchen|Washing_the_dishes,Living_room|Cleaning,Living_room|Computing,Living_room|Eating,Living_room|Watching_TV,Office|Cleaning,Office|Computing,Office|Watching_TV,Staircase|Going_down,Staircase|Going_up,Toilet|Using_the_toilet,Transition
Bathroom|Cleaning,107,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Bathroom|Showering,0,2309,332,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,10
Bathroom|Using_the_sink,52,63,723,40,0,0,0,0,1,0,0,1,0,0,0,0,4,2,0,0,0,4,0,0,2
Bathroom|Using_the_toilet,7,27,12,213,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
Bedroom|Cleaning,0,0,0,0,41,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bedroom|Dressing,0,0,1,0,4,279,7,6,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2
Bedroom|Napping,0,0,0,0,0,17,2660,0,0,0,0,0,0,0,0,102,73,0,0,39,0,0,0,0,52
Bedroom|Reading,0,0,0,0,1,20,0,3225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entrance|Entering,0,1,1,0,0,0,0,0,314,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12
Entrance|Leaving,0,0,0,0,0,1,0,0,53,132,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8
Kitchen|Cleaning,0,0,0,0,0,1,0,0,0,0,27,0,0,22,27,0,1,0,0,0,0,0,0,0,0
Kitchen|Cooking,0,1,1,0,0,0,0,0,10,0,0,1774,40,23,3,0,1,0,0,0,0,1,0,0,0
Kitchen|Preparing,0,1,2,2,0,2,0,0,0,0,0,5,225,12,1,0,0,4,0,0,4,10,0,0,9
Kitchen|Washing_the_dishes,0,0,2,0,0,3,0,0,0,0,1,4,30,918,14,3,5,1,0,0,0,0,0,0,5
Living_room|Cleaning,0,0,2,0,2,0,0,0,0,0,3,0,4,8,132,15,11,3,0,0,0,0,0,0,3
Living_room|Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70,3415,27,1,0,0,0,1,0,0,1
Living_room|Eating,0,0,0,2,0,2,0,0,0,0,2,10,4,10,44,19,1723,4,0,0,0,0,4,0,4
Living_room|Watching_TV,0,42,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3890,0,0,0,1,1,0,7
Office|Cleaning,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,1,0,0,0,1
Office|Computing,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,53226,71,1,2,0,10
Office|Watching_TV,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,19,1868,0,0,0,1
Staircase|Going_down,0,0,2,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,2,1,113,15,0,15
Staircase|Going_up,0,1,0,1,0,0,0,0,8,0,0,0,2,0,2,0,0,3,0,2,0,7,143,0,16
Toilet|Using_the_toilet,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,108,7
Transition,5,50,22,16,3,32,5,20,29,0,4,16,17,10,80,34,49,25,1,33,6,10,18,0,654
